Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
5e,11-12 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,Savoir ce que j’ai bien fait,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair","Oui, un peu",Je préfère éviter les commentaires oraux,"Parfois, selon ce qui est dit",Les autres élèves se sont moqués,,Écrits,Parce que je préfère a l'écrit pour que les autres camarades ne sache pas ma note que j'ai eu moi j'aime pas ça de relevé ma note devant tout le monde (par exemple il y a une prof  elle m'a dit la note que j'ai elle était nul et elle a dit devant tout le monde.,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",Ce que je dois corriger précisément,Ils m'encouragent toujours à mieux faire,Parce que sa me motive.,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Rien de tout cela suivre le cours me suffit",Rien voilà...,,,2025-10-15 9:48pm
4e,13-14 ans,A1RD17,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Un peu,Je demande des explications au professeur,"Oui, souvent",Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Oraux,Parce ce que c’est plus claire et je comprend mieux ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",Je n’aime pas quand les commentaires sont négatifs et que se soit à l’écrit ou à l’oral il n’y a pas de raison,,,2025-10-15 10:13pm
3e,15-16 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Pas du tout,"""Je laisse tomber, tant pis""",Parfois,Je ne m’en souviens pas,"Non, c'est rarement clair pour moi",Pas du tout,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Oraux,,Non,Des encouragements pour me motiver,,Ils me découragent toujours,,"Toujours, je n'ose pas poser de questions",Je me fais aider par une I.A.,,,,2025-10-15 10:41pm
5e,11-12 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, Je demande à mes parents",Rarement,Pendant la correction collective devant toute la classe,La plupart du temps,Pas vraiment,Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Oraux,Car je préfère  que c mieux a l'oral pour comprendre mais erreur ,Oui,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",Ce que j'ai mal fait pour apprendre ,"Parfois ça m'encourage, parfois ça me décourage",Car sa me dit que je doit réviser des exercices ,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,2025-10-16 8:41am
2nde,15-16 ans,,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Pas vraiment,J'ai peur de poser la question,Rarement,Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,,Oui,Des conseils concrets pour progresser,,Ils n'ont pas d'effet sur ma motivation,,"Toujours, je n'ose pas poser de questions",Je fais des fiches de révision,,,,2025-10-16 9:08am
2nde,15-16 ans,,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,Car ça me concerne que moi et pas les autres ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je suis des cours particuliers",Non,,,2025-10-16 9:09am
2nde,15-16 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'ai peur de poser la question","Oui, souvent",Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Car je n'aime pas être juger devant les autres,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur",Je ne prépare pas vraiment,Non,,,2025-10-16 9:09am
2nde,15-16 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Être encouragé(e),,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Écrits,,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,Car c’est que matériel ,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision",Non ,,,2025-10-16 9:10am
2nde,15-16 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande à un camarade,Parfois,Pendant la correction collective devant toute la classe,Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,c’est clair ,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je me fais aider par une I.A.",non,,,2025-10-16 9:10am
2nde,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,Parce que je préfère des explications plus approfondie ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,2025-10-16 9:10am
2nde,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,2025-10-16 9:10am
2nde,15-16 ans,,Jamais ou presque jamais,"Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,"Oui, beaucoup",Je demande des explications au professeur,Rarement,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,je peux mieux m’en souvenir ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",,,,2025-10-16 9:10am
2nde,15-16 ans,,Jamais ou presque jamais,"Parfois, ça dépend de la matière ou de la note",Savoir ce que je dois améliorer,,Un peu,J'essaie de deviner ce que ça veut dire,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Je n'ai pas de préférence,,Je ne sais pas,"Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je révise avec des camarades",,,,2025-10-16 9:11am
2nde,15-16 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire","Oui, souvent",Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,C’est plus facile à comprendre ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,"Je relis le cours, Je me fais aider par une I.A.",Non,,,2025-10-16 9:11am
2nde,15-16 ans,JZTO3M,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,Savoir ce que je dois améliorer ,"Oui, beaucoup",Je demande des explications au professeur,"Oui, souvent",Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Écrits,Je préfère ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,Pour progresser ,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",,,,2025-10-16 9:11am
2nde,15-16 ans,,Parfois,La plupart du temps,Savoir ce que j’ai bien fait,,Pas vraiment,"Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Pendant la correction collective devant toute la classe,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A.",Non,,,2025-10-16 9:11am
2nde,15-16 ans,WGV8NA,Parfois,La plupart du temps,Être encouragé(e),Rien. ,Un peu,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis"", J'ai peur de poser la question",Rarement,Je ne m’en souviens pas,Parfois c'est un peu flou,Je ne sais pas,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,Je préfère parce queeeee... Je préfère prendre l'info d'une traite plutôt que d'en discuter avec le professeur. ,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,Ils m'encouragent souvent,Peur de décevoir. ,Souvent,"Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades, Je ne prépare pas vraiment",Nope. ,,,2025-10-16 9:11am
2nde,15-16 ans,KX0O61,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Écrits,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,Sa me rebooste,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,2025-10-16 9:11am
2nde,15-16 ans,3GBH1Q,"Oui, souvent",La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,Pendant des travaux en groupes,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,C’est plus facile de s’en souvenir ,Non,"""Ce que j'ai bien fait, mes points forts""",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,2025-10-16 9:11am
2nde,15-16 ans,,Rarement,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,Être encouragée ,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Parfois,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander",,Un mélange des deux,Cela dépend cela peut m’aider à mieux comprendre ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",Car desfois quand c’est trop négatif et que je sais que j’a beaucoup réviser ça me démotive ,"Toujours, je n'ose pas poser de questions","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je suis des cours particuliers",,,,2025-10-16 9:11am
